,Name,Population,Employment Count,Employment Rate,Income per Capita,Abb
0,Puerto Rico,3468963.0,1040136.0,29.984061519249412,12081.0,
1,Alabama,4850771.0,2055509.0,42.37489256862466,25746.0,
2,Alaska,738565.0,354045.0,47.93687759371213,35065.0,
3,Arizona,6809946.0,2953891.0,43.376129561086096,27964.0,
4,Arkansas,2977944.0,1276536.0,42.86635343042045,24426.0,
5,California,38982847.0,17993915.0,46.158545064704995,33128.0,
6,Colorado,5436519.0,2760076.0,50.769177850753394,34845.0,
7,Connecticut,3594478.0,1805086.0,50.21830708102818,41365.0,
8,District of Columbia,672391.0,357701.0,53.19836226243361,50832.0,
9,Delaware,943732.0,441513.0,46.78372673598013,32625.0,
10,Florida,20278447.0,9018570.0,44.47367197300661,28774.0,
11,Georgia,10201635.0,4606329.0,45.152850498964135,28015.0,
12,Hawaii,1421658.0,671758.0,47.251730022269776,32511.0,
13,Idaho,1657375.0,748658.0,45.17131005354853,25471.0,
14,Illinois,12854526.0,6181653.0,48.08931111112148,32924.0,
15,Indiana,6614418.0,3124295.0,47.23461686273834,27305.0,
16,Iowa,3118102.0,1599718.0,51.30422288943723,30063.0,
17,Kansas,2903820.0,1420045.0,48.90265236825974,29600.0,
18,Kentucky,4424376.0,1938150.0,43.80617741349288,25888.0,
19,Maine,1330158.0,658693.0,49.51990665770533,29886.0,
20,Louisiana,4663461.0,2031238.0,43.556448740538414,26205.0,
21,Massachusetts,6789319.0,3525672.0,51.92968543678681,39913.0,
22,Maryland,5996079.0,3040792.0,50.71300761714447,39070.0,
23,Michigan,9925568.0,4524874.0,45.58806105605241,28938.0,
24,Minnesota,5490726.0,2904103.0,52.89105666536629,34712.0,
25,Mississippi,2986220.0,1221828.0,40.915538707797815,22500.0,
26,Missouri,6075300.0,2867393.0,47.19755403025365,28282.0,
27,Montana,1029862.0,497995.0,48.35550782532029,28706.0,
28,Nebraska,1893921.0,987216.0,52.12551104296325,29866.0,
29,New Hampshire,1331848.0,713424.0,53.56647305097879,36914.0,
30,Nevada,2887725.0,1341358.0,46.45033720316166,28450.0,
31,New Jersey,8960161.0,4388024.0,48.97260216641197,39069.0,
32,New Mexico,2084828.0,879201.0,42.17139255612454,25257.0,
33,New York,19798228.0,9467631.0,47.82059788381061,35752.0,
34,North Carolina,10052564.0,4571020.0,45.47118526178993,28123.0,
35,North Dakota,745475.0,400454.0,53.717965055836885,34256.0,
36,Ohio,11609756.0,5488180.0,47.272139052707054,29011.0,
37,Oklahoma,3896251.0,1746419.0,44.823061963923784,26461.0,
38,Oregon,4025127.0,1885983.0,46.855242083044836,30410.0,
39,Pennsylvania,12790505.0,6096977.0,47.66799278058216,31476.0,
40,Rhode Island,1056138.0,526071.0,49.8108201769087,33315.0,
41,South Carolina,4893444.0,2181046.0,44.570776737201854,26645.0,
42,South Dakota,855444.0,438339.0,51.241109879781725,28761.0,
43,Tennessee,6597381.0,2996610.0,45.42120577847482,27277.0,
44,Texas,27419612.0,12689069.0,46.277347031752306,28985.0,
45,Utah,2993941.0,1412214.0,47.16906578987361,26907.0,
46,Vermont,624636.0,327264.0,52.3927535396615,31917.0,
47,Virginia,8365952.0,4084035.0,48.81733722593675,36268.0,
48,West Virginia,1836843.0,746958.0,40.66531543523317,24774.0,
49,Washington,7169967.0,3418123.0,47.67278566275131,34869.0,
50,Wyoming,583200.0,293633.0,50.348593964334704,31214.0,
51,Wisconsin,5763217.0,2939880.0,51.0110932834908,30557.0,
