State,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
AK,658430,694245,727550,773297,837885,933706,1013084,1049656,1037857,1044659,517227
AL,453752,469052,486102,511127,537481,585134,635231,650963,636567,623674,303442
AR,371825,391026,412873,436883,465464,504766,537335,554345,548462,545743,274114
AZ,889959,897758,889992,859030,913449,1110553,1241314,1180787,944895,742429,362716
CA,1177711,1305707,1441329,1609011,1926909,2255625,2387689,2208476,1733803,1485979,769663
CO,803802,912719,965299,990513,1034785,1105008,1141390,1142357,1090062,1060236,527985
CT,937118,1024105,1124096,1239863,1390052,1547766,1614598,1593337,1474756,1362354,667675
DC,899278,1063608,1270609,1447556,1626071,1848821,2068552,2114946,1994140,1926838,981655
DE,630234,682169,751996,833717,959606,1098783,1195172,1177191,1092699,1022719,488273
FL,549355,609489,673917,752807,887127,1113418,1240023,1151459,917412,750728,364679
GA,577480,614985,647220,674165,704080,747029,777954,771840,709113,645623,314625
HI,1215349,1324945,1468060,1656302,2012632,2428004,2691329,2764479,2616299,2404714,1184623
IA,419361,436568,453330,469902,489565,512563,530790,536778,537908,542147,275066
ID,452567,478086,496318,529216,578802,677513,793938,836803,793721,711686,330858
IL,611547,658284,707486,758996,809952,876539,925782,916816,833517,745993,365343
IN,448409,462853,476372,488728,503303,521981,531399,534133,517431,508774,257717
KS,420239,439098,457013,472514,489167,510423,529279,537915,534043,535141,267110
KY,464167,481752,500961,525906,548777,574888,597262,606283,598467,592380,297818
LA,441653,459034,482073,509753,540826,585480,655304,671179,671077,679070,340223
MA,971575,1109261,1245798,1373228,1516336,1638352,1633950,1602998,1506112,1455148,727881
MD,759444,833141,928929,1026143,1182561,1414226,1555540,1513379,1340293,1199291,580253
ME,514738,566288,640423,713462,786742,867736,887259,881302,850055,838182,416413
MI,565480,594290,617258,635224,645468,659083,642429,589132,508072,459332,228296
MN,588725,656897,721550,784800,840746,902859,928121,893573,811875,769049,382104
MO,448930,475370,503036,532451,562600,598824,625766,625380,593545,584973,287937
MS,389575,405887,421971,441215,463045,500012,551165,578595,572570,559420,280411
MT,466862,496455,531859,577950,637908,720307,809178,867491,865244,837870,413513
NC,544614,568930,595303,621568,658105,716266,775071,805926,788901,765710,377998
ND,332075,347651,366202,390351,421163,469575,503985,538775,561737,581860,298254
NE,431562,446132,462429,482226,503140,527991,545981,550018,543750,544575,274441
NH,672338,760162,850286,952219,1055452,1149125,1169850,1125702,1046799,1004683,499832
NJ,841872,939061,1067331,1206339,1342103,1504006,1595194,1560243,1444651,1326935,644037
NM,503835,526153,556881,596226,647102,725878,814673,847592,822828,782464,379086
NV,710173,758122,812114,902178,1155410,1385592,1428145,1296416,984229,750759,359253
NY,697265,773663,867466,987119,1082498,1214937,1320330,1335938,1284286,1207811,592354
OH,497571,516176,533707,552383,562222,578831,583958,565645,523368,504786,257654
OK,369754,384276,401563,421862,440460,469367,499416,520986,527375,533705,269392
OR,634220,663411,696699,746122,821388,964300,1115004,1158831,1083227,976544,462745
PA,482202,510927,548578,593210,641977,701846,749569,759824,742233,719202,352151
RI,680446,772230,908378,1064425,1235447,1363737,1384839,1306017,1150815,1068513,527785
SC,530067,549765,566975,588239,619423,679875,741526,767367,736332,693781,338119
SD,432863,464155,491424,523256,558359,605024,641335,670755,688877,698723,351968
TN,457079,475593,493677,512812,542490,590367,638289,661300,642525,624415,310216
TX,469887,495997,515727,529885,545540,572781,611463,643486,639339,632060,317633
US,630692,680382,732774,791758,875867,983369,1047972,1027220,923078,850195,423101
UT,610701,626001,638216,655971,699098,799811,959503,1087911,1049882,942747,445958
VA,631525,700698,781750,876941,1015853,1211470,1304763,1259391,1113734,1049857,528941
VT,573926,631837,687774,748467,851323,957352,1016657,1029067,1001755,981471,473131
WA,760512,799564,840279,890785,977758,1132054,1303553,1373813,1284268,1152546,563267
WI,527719,561146,596526,638404,680614,725802,756874,756775,734239,715885,351390
WV,340040,359980,392112,441561,489987,551860,596879,627010,609238,590347,298564
WY,464612,496009,543485,590146,649438,724960,827239,919548,912400,870036,416662
